,Virus,ScientificName,accession,most_specific_diagnostic_Test,Order,Family,Genus,Species,common_names,viral_family
32,Australian bat lyssavirus,Saccolaimus flaviventris,7,PCR,CHIROPTERA,EMBALLONURIDAE,Saccolaimus,flaviventris,"Yellow-bellied Sheath-tailed Bat, Yellow-bellied Pouched Bat",Rhabdoviridae
33,Bagaza virus,Alectoris rufa,6,PCR,GALLIFORMES,PHASIANIDAE,Alectoris,rufa,Red-legged Partridge,Flaviviridae
34,Banna virus,Homo sapiens,2,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Reoviridae
35,Banna virus,Sus scrofa domesticus,1,PCR,CETARTIODACTYLA,SUIDAE,Sus,scrofa domesticus,,Reoviridae
36,Batai virus,Bos taurus,6,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,,Peribunyaviridae
37,Batai virus,Fulica atra,4,PCR,GRUIFORMES,RALLIDAE,Fulica,atra,"Common Coot, Eurasian Coot, Coot, European Coot",Peribunyaviridae
38,Batai virus,Homo sapiens,1,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Peribunyaviridae
39,Bayou orthohantavirus,Homo sapiens,2,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
40,Bayou orthohantavirus,Oryzomys palustris,6,PCR,RODENTIA,CRICETIDAE,Oryzomys,palustris,Marsh Rice Rat,Hantaviridae
41,Bear Canyon mammarenavirus,Neotoma macrotis,6,PCR,RODENTIA,CRICETIDAE,Neotoma,macrotis,"Big-eared Woodrat, Large-eared Woodrat",Arenaviridae
42,Bear Canyon mammarenavirus,Peromyscus boylii,1,PCR,RODENTIA,CRICETIDAE,Peromyscus,boylii,Brush Mouse,Arenaviridae
43,Bear Canyon mammarenavirus,Peromyscus californicus,9,PCR,RODENTIA,CRICETIDAE,Peromyscus,californicus,California Mouse,Arenaviridae
44,Bermejo virus,Homo sapiens,2,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
45,Bermejo virus,Oligoryzomys chacoensis,2,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,chacoensis,Chacoan Pygmy Rice Rat,Hantaviridae
46,Bhanja virus,Homo sapiens,3,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Phenuiviridae
47,Big brushy tank virus,Neotoma albigula,10,PCR,RODENTIA,CRICETIDAE,Neotoma,albigula,White-throated Woodrat,Arenaviridae
48,Black Creek Canal orthohantavirus,Sigmodon hispidus,1,PCR,RODENTIA,CRICETIDAE,Sigmodon,hispidus,Hispid Cotton Rat,Hantaviridae
49,Bovine papular stomatitis virus,Bos taurus,34,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,,Poxviridae
50,Buffalopox virus,Bison bison,55,PCR,CETARTIODACTYLA,BOVIDAE,Bison,bison,American Bison,Poxviridae
51,Buffalopox virus,Bos taurus,14,PCR,CETARTIODACTYLA,BOVIDAE,Bos,taurus,,Poxviridae
52,Buffalopox virus,Bubalus bubalis,1,PCR,CETARTIODACTYLA,BOVIDAE,Bubalus,bubalis,,Poxviridae
53,Buffalopox virus,Homo sapiens,58,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Poxviridae
54,Bundibugyo ebolavirus,Homo sapiens,8,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Filoviridae
55,Bunyamwera virus,Equus caballus,12,PCR,PERISSODACTYLA,EQUIDAE,Equus,caballus,,Peribunyaviridae
56,Bwamba orthobunyavirus,Homo sapiens,4,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Peribunyaviridae
57,Cache Valley virus,Homo sapiens,3,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Peribunyaviridae
58,Calabazo virus,Zygodontomys brevicauda,3,PCR,RODENTIA,CRICETIDAE,Zygodontomys,brevicauda,Short-tailed Cane Mouse,Hantaviridae
59,Caraparu virus,Cebus apella,5,PCR,PRIMATES,CEBIDAE,Cebus,apella,,Peribunyaviridae
60,Caraparu virus,Homo sapiens,13,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Peribunyaviridae
61,Catarina virus,Neotoma micropus,58,PCR,RODENTIA,CRICETIDAE,Neotoma,micropus,Southern Plains Woodrat,Arenaviridae
62,Chandipura virus,Homo sapiens,6,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Rhabdoviridae
63,Chandiru virus,Homo sapiens,7,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Phenuiviridae
64,Chapare mammarenavirus,Homo sapiens,4,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Arenaviridae
65,Chikungunya virus,Homo sapiens,2014,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Togaviridae
66,Chikungunya virus,Macaca fascicularis,8,PCR,PRIMATES,CERCOPITHECIDAE,Macaca,fascicularis,"Nicobar Crab-eating Macaque, Nicobar Cynomolgus Monkey, Nicobar Long-tailed Macaque",Togaviridae
67,Chikungunya virus,Mus musculus,1,PCR,RODENTIA,MURIDAE,Mus,musculus,House Mouse,Togaviridae
68,Choclo virus,Homo sapiens,4,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
69,Choclo virus,Oligoryzomys fulvescens,3,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,fulvescens,Fulvous Pygmy Rice Rat,Hantaviridae
70,Dobrava-Belgrade orthohantavirus,Apodemus agrarius,117,PCR,RODENTIA,MURIDAE,Apodemus,agrarius,Striped Field Mouse,Hantaviridae
71,Dobrava-Belgrade orthohantavirus,Apodemus flavicollis,204,PCR,RODENTIA,MURIDAE,Apodemus,flavicollis,Yellow-necked Field Mouse,Hantaviridae
72,Dobrava-Belgrade orthohantavirus,Apodemus ponticus,12,PCR,RODENTIA,MURIDAE,Apodemus,ponticus,Black Sea Field Mouse,Hantaviridae
73,Dobrava-Belgrade orthohantavirus,Apodemus sylvaticus,6,PCR,RODENTIA,MURIDAE,Apodemus,sylvaticus,"Long-tailed Field Mouse, Wood Mouse, Small Wood Mouse",Hantaviridae
74,Dobrava-Belgrade orthohantavirus,Glis glis,2,PCR,RODENTIA,GLIRIDAE,Glis,glis,"Edible Dormouse, Fat Dormouse",Hantaviridae
75,Dobrava-Belgrade orthohantavirus,Glis glis,2,PCR,RODENTIA,GLIRIDAE,Glis,glis,,Hantaviridae
76,Dobrava-Belgrade orthohantavirus,Homo sapiens,120,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
77,Dobrava-Belgrade orthohantavirus,Meriones tamariscinus,1,PCR,RODENTIA,MURIDAE,Meriones,tamariscinus,"Tamarisk Gerbil, Tamarisk Jird, TAMARISK JIRD",Hantaviridae
78,Dobrava-Belgrade orthohantavirus,Microtus arvalis,5,PCR,RODENTIA,CRICETIDAE,Microtus,arvalis,Common Vole,Hantaviridae
79,Dobrava-Belgrade orthohantavirus,Mus musculus,2,PCR,RODENTIA,MURIDAE,Mus,musculus,House Mouse,Hantaviridae
80,Dobrava-Belgrade orthohantavirus,Myodes glareolus,2,PCR,RODENTIA,CRICETIDAE,Myodes,glareolus,Bank Vole,Hantaviridae
81,Dobrava-Belgrade orthohantavirus,Sorex araneus,2,PCR,EULIPOTYPHLA,SORICIDAE,Sorex,araneus,"Common Shrew, Eurasian Shrew",Hantaviridae
82,Duvenhage lyssavirus,Homo sapiens,15,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Rhabdoviridae
83,Duvenhage lyssavirus,Nycteris thebaica,1,PCR,CHIROPTERA,NYCTERIDAE,Nycteris,thebaica,"Cape Long-eared Bat, Egyptian Slit-faced Bat, Common Slit-faced Bat, Geoffroy's Nycteris",Rhabdoviridae
